key,en,da,de,es,it
com.oddlabs.tt.Main.error,Error,Fejl,Fehler,Error,Errore
com.oddlabs.tt.Main.error_message,"The game has crashed with the following message: ""{0}"".
If this happened at startup, make sure you have updated drivers for your graphics card and sound card.
If this happened while playing, please run the game a second time and allow it to submit a bug report to us.
You can contact support at {1}.","Spillet er brudt sammen med f�lgende besked: ""{0}"".
Hvis det skete under opstarten, b�r du sikre dig, at dine grafikdrivere og lyddrivere er opdaterede.
Hvis det skete, mens du spillede, s� k�r spillet en gang mere og send den fejlrapport, som spillet vil bede om.
Du kan kontakte support p� {1}.","Das Spiel ist mit folgender Meldung abgest�rzt: ""{0}"".
Sollte dies beim Starten des Spiels aufgetreten sein, stellen Sie sicher, dass die Grafik- und Soundkartentreiber aktuell sind.
Sollte dies w�hrend des Spiels aufgetreten sein, starten Sie das Spiel erneut, und senden Sie den im Spiel zur Verf�gung stehenden Fehlerbericht an uns.
Kontaktieren Sie den Support unter {1}.","El juego se ha cerrado con el siguiente mensaje de error: ""{0}"".
Si esto ha sucedido iniciando el juego, aseg�rate que tienes actualizados los drivers de tus tarjetas gr�fica y de sonido.
En cambio, si sucedi� mientras jugabas, vuelve a entrar en el juego otra vez y d�jale enviarnos un informe del error.
Puedes contactar con el soporte t�cnico en {1}.","Il gioco si � bloccato con il seguente messaggio: ""{0}"".
Se � accaduto in fase di avvio, assicurati di aver installato driver aggiornati per la tua scheda grafica e sonora.
Se stavi giocando riavvia il gioco una seconda volta e consenti all''applicazione di inviarci un report di errore.
Puoi contattare il supporto a {1}."
com.oddlabs.tt.bugclient.BugClientWindow.connection_failed,Failed to connect to bug report server.,Forbindelsen til fejlrapportserveren mislykkedes.,Es konnte keine Verbindung zum Fehlerberichtsserver hergestellt werden.,Fall� al conectarse al servidor de informes de error.,Impossibile connettersi al server dei report d''errore.
com.oddlabs.tt.bugclient.BugClientWindow.describe,"You have either requested to submit a bug report, or the game crashed during the previous session. Please help us improve the game by describing the nature of the problem in the box below and press Submit.","Du har enten bedt om at sende en fejlrapport, eller spillet gik ned under sidste k�rsel. Hj�lp os med at forbedre spillet ved at beskrive problemet i nedenst�ende boks. Tryk derefter Send.","Entweder haben Sie angegeben, dass Sie einen Fehlerbericht senden m�chten, oder das Spiel ist beim letzten Mal abgest�rzt. Helfen Sie uns, das Spiel zu verbessern, indem Sie eine Fehlerbeschreibung in unten stehendes Feld eingeben und auf ''Senden'' klicken.","O has solicitado enviar un informe de error o el juego se cerr� por un error en la �ltima sesi�n. Por favor, ay�danos a mejorar el juego escribiendo un resumen del error en la caja de texto inferior. Despu�s pulsa Enviar.",Hai richiesto l''invio di un rapporto di errore oppure il gioco si � bloccato nella precedente sessione. Aiutaci a migliorare il gioco descrivendo la natura del problema nel box sottostante e premendo Invia.
com.oddlabs.tt.bugclient.BugClientWindow.email,Email address:,Email adresse:,E-Mail-Adresse:,email:,Email address:
com.oddlabs.tt.bugclient.BugClientWindow.note,"Note that when submitting a bug report, a log containing all your keyboard and mouse input during the previous game session as well as information about your graphics card drivers and operating system will also be submitted to Oddlabs. This information allows us to fix errors in the game much easier.","Bem�rk at n�r du sender en fejlrapport, vil en log, som indeholder alle dine tastatur- og musebev�gelser foretaget i spillet siden sidste start, blive sendt til Oddlabs. Det samme g�lder information om dine grafikkort-drivere og dit styresystem. Disse informationer g�r det meget lettere for os at rette fejl i spillet.","Beachten Sie, dass mit dem Fehlerbericht auch ein Protokoll all Ihrer Tastatur- und Mauseingaben w�hrend des letzten Spiels sowie Informationen �ber Grafikkartentreiber und Betriebssystem an Oddlabs gesendet werden. Mithilfe dieser Informationen k�nnen wir Probleme im Spiel besser beheben.","Te informamos que cuando env�as un informe de error, un registro que contiene todas las entradas de teclado y rat�n durante la �ltima partida, as� como informaci�n sobre el driver de tu tarjeta gr�fica e informaci�n sobre el sistema operativo tambi�n se env�a a Oddlbas. Esto nos permite solucionar los errores del juego mucho m�s f�cilmente.",All''invio di un rapporto di errore un log contenente tutti gli input di tastiera e mouse usati nella precedente sessione di gioco e tutti i dati della scheda grafica e del sistema operativo saranno inviati alla Oddlabs. Queste informazioni ci permetteranno di risolvere l''errore pi� rapidamente.
com.oddlabs.tt.bugclient.BugClientWindow.progress_format,{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2},{0} {1}/{2}
com.oddlabs.tt.bugclient.BugClientWindow.report_caption,"Uploading report and log files, please be patient...","Sender rapport og logfiler, vent venligst...",Berichts- und Protokolldateien werden �bertragen. Bitte haben Sie ein wenig Geduld ...,"Enviando informe y registros, por favor espera...","Invio report e file log, attendere..."
com.oddlabs.tt.bugclient.BugClientWindow.submit,Submit,Send,Senden,Enviar,Invia
com.oddlabs.tt.bugclient.BugClientWindow.submit_caption,Submit a bug report,Send en fejlrapport,Fehlerbericht senden,Enviar informe de error,Rapporto di errore
